id,descriptor_id,descriptor_en,reference,how_to_prepare,suggested_brands
1,1,Fruity,Apple sauce (puree),"Dilute pure apple puree/sauce on a one-to-one ratio, place in a glass or plastic cup and cover.","Gerber, Motts (be mindful of no spices added)."
2,1,Fruity,“Le Nez du Café Revelation” (36 vials) – Vial #17: Apple,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,Jean Lenoir “Le Nez du Café” Revelations Edition (36 Aromas)
3,1,Fruity,Scentone T100 – Vial #32 – Apple,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,“Scentone” T100
4,1,Fruity,Kiwi-strawberry juice,Place juice in a plastic or glass cup and cover.,Juicy-Juice 100% Juice Strawberry-Kiwi
5,1,Fruity,Kiwi and apple syrups,Blend equal parts of kiwifruit syrup and apple syrups; place in a glass or plastic cup and cover.,"Monin, Torani, DaVinci Gourmet (be mindful it is plain fruit syrup, with no caramel or butter flavors)"
6,1,Fruity,"""Le Nez du Café"" (2025, 60 vials) - Vial #11: Cherry","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
7,1,Fruity,"""Le Nez du Café"" (2025, 60 vials) - Vial #12: Pineapple","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
8,1,Fruity,"""Le Nez du Café"" (2025, 60 vials) - Vial #16: Apple","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
9,1,Fruity,"""Le Nez du Café"" (2025, 60 vials) - Vial #17: Peach","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
10,1,Fruity,The Coffee Sensorium Flavour Kit - Vial #081: Cherry,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
11,1,Fruity,The Coffee Sensorium Flavour Kit - Vial #141: Banana,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
12,1,Fruity,The Coffee Sensorium Flavour Kit - Vial #312: Stone Fruits,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
13,1,Fruity,The Coffee Sensorium Flavour Kit - Vial #437: Pineapple,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
14,1,Fruity,The Coffee Sensorium Flavour Kit - Vial #643: Apple,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
15,1,Fruity,"FlavorActiV “apple""(ethyl hexanoate)",Prepare according to FlavorActiV package instructions.,FlavorActiv
16,1,Fruity,"FlavorActiV “grape"" (methyl anthranilate)",Prepare according to FlavorActiV package instructions.,FlavorActiv
17,1,Fruity,"FlavorActiV “coconut"" (whiskey lactone)",Prepare according to FlavorActiV package instructions.,FlavorActiv
18,1,Fruity,"FlavorActiV “pineapple"" (ethyl butyrate)",Prepare according to FlavorActiV package instructions.,FlavorActiv
19,2,Berry,Strawberries,Place all natural strawberries (ripe) in a glass or plastic container at room temperature and cover.,Any
20,2,Berry,Strawberry syrup,Place in a glass or plastic cup and cover.,"Monin, Torani, DaVinci Gourmet"
